Name,CPU time avg (us),CPU total (us),Self CPU time total (us),Number of Calls
AddBackward0,1.0564967942501298,282433.2880068872,282433.2880068872,267330
AddmmBackward,433.7960585003711,61035105.43100222,1717280.7819964676,140700
LogSoftmaxBackward,31.51730618335217,147816.16599992168,31855.801999448537,4690
MmBackward,810.2290398723508,3799974.197001325,58484.98300053866,4690
MulBackward0,25.840475157420762,10422497.24999409,2455966.3280006014,403340
NllLossBackward,40.98882771863771,192237.60200041087,64237.39300108579,4690
ReluBackward0,13.43083944552009,62990.63699948923,24234.78199949993,4690
SelectBackward,96.08997782518543,450661.99600011966,75043.24800111934,4690
SigmoidBackward,12.319532823132533,4853403.151001293,1326614.1679953518,393960
SliceBackward,81.31970831568304,762778.8640011068,349271.64500151674,9380
SplitBackward,38.56731101885795,5064659.282996426,610008.232995284,131320
StackBackward,58.01186865675827,272075.66400019627,15518.120999256687,4690
TBackward,6.051110956748292,879771.0220016341,291396.8680034176,145390
TanhBackward,62.48487458879736,16411027.462001735,927767.55399715,262640
TransposeBackward0,7.382551812165681,34624.167999057034,11425.421997856189,4690
UnbindBackward,615.9298735605338,2888711.1069989037,25535.292998468558,4690
UnsafeViewBackward,11.413861620534757,53531.011000308,19614.872998942737,4690
_local_scalar_dense,1.2091539315325264,362758.2709990732,362758.2709990732,300010
_log_softmax,36.39571492540525,170695.90300015063,170695.90300015063,4690
_log_softmax_backward_data,24.725024307137126,115960.36400047314,115960.36400047314,4690
_unsafe_view,10.31178635388533,48362.277999722195,48362.277999722195,4690
add,16.714606888169214,8466282.68099547,8466282.68099547,506520
add_,15.901977132364188,6040874.876996772,6040874.876996772,379882
addcdiv_,12.069014925417465,452829.4400016632,452829.4400016632,37520
addcmul_,10.012019376371338,375650.9670014526,375650.9670014526,37520
addmm,131.81318479743427,18546115.100998998,18546115.100998998,140700
bernoulli_,66.04196385912971,619473.6209986366,619473.6209986366,9380
cat,33.922106685966675,4454651.0500011435,4454651.0500011435,131320
chunk,13.855041463565517,1819444.044995424,252674.1609917316,131320
contiguous,135.86003710012824,637183.5739996014,610318.2589994761,4690
cudnn_is_acceptable,1.2667134328458565,5940.886000047067,5940.886000047067,4690
detach,1.2321249999968131,9.856999999974503,9.856999999974503,8
detach_,0.8948827780856208,37765.84300076937,37765.84300076937,42202
div,12.052042708561725,4067805.4549937523,4067805.4549937523,337520
div_,24.039469402964624,225490.22299980817,225490.22299980817,9380
dropout,121.5602793178738,1140235.4200016565,75269.39700333457,9380
empty,2.816610612286312,1769225.7900015241,1769225.7900015241,628140
empty_like,7.225679246614133,101665.30699986084,46771.398001340254,14070
is_complex,0.6205999950170508,3.102999975085254,3.102999975085254,5
is_floating_point,1.1863999979257585,11.863999979257587,11.863999979257587,10
item,2.486523542558034,745981.9280028358,383223.65700376267,300010
linear,181.7373892140331,24718102.30700064,444288.08500097936,136010
log_softmax,40.095616417887065,188048.4409998903,17352.537999739652,4690
lstm,13310.999193816597,62428586.21899983,2174472.5040187296,4690
matmul,987.0775473350807,4629393.697001529,60156.47400338775,4690
mm,226.34788553951267,64755866.57399918,64755866.57399918,286090
mul,12.77432728206041,15277456.71298015,15277456.71298015,1195950
mul_,15.998750346537545,1200546.2260041777,1200546.2260041777,75040
nll_loss,21.971915351688672,103048.28299941988,17472.313999355192,4690
nll_loss_backward,27.292155436956307,128000.20899932508,128000.20899932508,4690
nll_loss_forward,18.246475266538308,85575.96900006468,85575.96900006468,4690
random_,9.572399992835523,47.861999964177606,47.861999964177606,5
relu,17.257832622707017,80939.2350004959,80939.2350004959,4690
reshape,10.503504904306071,98522.87600239091,25856.476002303618,9380
select,3.377605800972,2058245.4229963168,2058245.4229963168,609380
set_,3.1568513833148013,947055.4149944405,947055.4149944405,300000
sigmoid_,21.200957297715775,8352329.137008107,8352329.137008107,393960
sigmoid_backward,8.952149921326889,3526788.9830059414,3526788.9830059414,393960
slice,5.463210127869147,102489.82199882515,102489.82199882515,18760
split,11.930931191011975,1566769.8840036925,1566769.8840036925,131320
sqrt,27.86556918978496,1045516.1560007315,1045516.1560007315,37520
stack,205.3474072494709,4815396.700000093,4815396.700000093,23450
sum,41.50619383035241,6034585.520994937,6034585.520994937,145390
tanh,50.202931343289535,6592648.944000782,6592648.944000782,131320
tanh_,42.88832704840151,5632095.107996087,5632095.107996087,131320
tanh_backward,58.9524059853967,15483259.90800459,15483259.90800459,262640
threshold_backward,8.263508528782367,38755.8549999893,38755.8549999893,4690
to,9.890045462597882,3013397.9519989495,2192733.4360046126,304690
torch::autograd::AccumulateGrad,11.79904421638589,442700.1389987986,120962.66099840193,37520
torch::autograd::GraphRoot,1.694427505283401,7946.864999779151,7946.864999779151,4690
transpose,3.1606368524802817,1940852.2720025668,1940852.2720025668,614070
unbind,30.200367164178697,566558.8879999925,566558.8879999925,18760
unsigned short,5.164170613324671,3705653.9070033836,3705653.9070033836,717570
view,6.1793307970238915,2839155.3280005967,2839155.3280005967,459460
zero_,24.11526040090891,1243913.361999683,1243913.361999683,51582
zeros,50.641272921086454,712522.7099996862,40118.67399861301,14070
