Type,Operation,#Occurrences,Avg. self-time (us)
ReadVariableOp,sequential/dense/BiasAdd/ReadVariableOp,937,0.9674770544290288
ReadVariableOp,sequential/dense/MatMul/ReadVariableOp,937,1.7092326574172891
ReadVariableOp,sequential/dense_1/BiasAdd/ReadVariableOp,937,3.3510096051227323
ReadVariableOp,sequential/dense_1/MatMul/ReadVariableOp,937,1.1629957310565635
ReadVariableOp,sequential/dense_2/BiasAdd/ReadVariableOp,937,0.9763820704375668
ReadVariableOp,sequential/dense_2/MatMul/ReadVariableOp,937,1.053118463180363
ResourceApplyGradientDescent,SGD/SGD/update/ResourceApplyGradientDescent,937,9.855917822838848
ResourceApplyGradientDescent,SGD/SGD/update_1/ResourceApplyGradientDescent,937,8.02054855923159
ResourceApplyGradientDescent,SGD/SGD/update_2/ResourceApplyGradientDescent,937,10.126144076840982
ResourceApplyGradientDescent,SGD/SGD/update_3/ResourceApplyGradientDescent,937,6.35732977588047
ResourceApplyGradientDescent,SGD/SGD/update_4/ResourceApplyGradientDescent,937,32.93956563500534
ResourceApplyGradientDescent,SGD/SGD/update_5/ResourceApplyGradientDescent,937,5.967094983991463
ResourceApplyGradientDescent,SGD/SGD/update_6/ResourceApplyGradientDescent,937,13.731155816435432
ResourceApplyGradientDescent,SGD/SGD/update_7/ResourceApplyGradientDescent,937,6.72395090715048
ResourceApplyGradientDescent,SGD/SGD/update_8/ResourceApplyGradientDescent,937,6.0125581643543216
ResourceApplyGradientDescent,SGD/SGD/update_9/ResourceApplyGradientDescent,937,8.592528281750267
Slice,Slice,2,8.9545
Slice,Slice_1,2,42.5695
Softmax,sequential/dense_2/Softmax,937,16.108565635005338
SoftmaxCrossEntropyWithLogits,categorical_crossentropy/softmax_cross_entropy_with_logits,937,46.83642902881537
Sub,categorical_crossentropy/softmax_cross_entropy_with_logits/Sub,4,6.03025
Sub,categorical_crossentropy/softmax_cross_entropy_with_logits/Sub_1,4,5.1005
Sub,categorical_crossentropy/softmax_cross_entropy_with_logits/Sub_2,4,4.3145
Sum,Sum_1,937,5.200995731056564
Sum,categorical_crossentropy/weighted_loss/Sum,937,4.141901814300962
Tanh,sequential/conv2d/Tanh,937,225.3568431163287
Tanh,sequential/conv2d_1/Tanh,937,85.29022305229455
Tanh,sequential/dense/Tanh,937,14.553072572038419
Tanh,sequential/dense_1/Tanh,937,9.77485165421558
TanhGrad,gradient_tape/sequential/conv2d/TanhGrad,937,109.19668089647811
TanhGrad,gradient_tape/sequential/conv2d_1/TanhGrad,937,37.70296478121665
TanhGrad,gradient_tape/sequential/dense/TanhGrad,937,5.4113073639274285
TanhGrad,gradient_tape/sequential/dense_1/TanhGrad,937,3.5834813233724656
TensorDataset,TensorDataset,2,4.8180000000000005
TensorSliceDataset,TensorSliceDataset,2,24.7125
Tile,gradient_tape/categorical_crossentropy/weighted_loss/Tile_1,937,4.324506937033084
VarHandleOp,VarHandleOp,6,0.5933333333333334
VarIsInitializedOp,VarIsInitializedOp,6,5.646
WriteScalarSummary,cond/then/_0/batch_accuracy,937,12.232077908217715
WriteScalarSummary,cond_1/then/_10/batch_loss,937,8.218688367129136
WriteSummary,WriteSummary,1,56.043
_FusedConv2D,sequential/conv2d/BiasAdd,937,3838.620263607257
_FusedConv2D,sequential/conv2d_1/BiasAdd,937,657.5901109925294
_FusedMatMul,sequential/dense/BiasAdd,937,100.08366061899679
_FusedMatMul,sequential/dense_1/BiasAdd,937,38.36505656350053
_FusedMatMul,sequential/dense_2/BiasAdd,937,10.237676627534684
