Type,Operation,#Occurrences,Avg. self-time (us)
ArgMax,ArgMax,468,33.65391452991453
ArgMax,ArgMax_1,468,8.785899572649573
Assert,Assert,6,0.298
AssignAddVariableOp,AssignAddVariableOp,468,4.224096153846154
AssignAddVariableOp,AssignAddVariableOp_1,468,1.4812179487179489
AssignAddVariableOp,AssignAddVariableOp_2,468,6.012950854700855
AssignAddVariableOp,AssignAddVariableOp_3,468,1.4045170940170941
AssignAddVariableOp,AssignAddVariableOp_4,468,2.6740021367521365
AssignAddVariableOp,SGD/SGD/AssignAddVariableOp,468,3.4112756410256413
AssignVariableOp,AssignVariableOp,6,8.015500000000001
AvgPool,sequential/average_pooling2d/AvgPool,468,845.8203397435898
AvgPool,sequential/average_pooling2d_1/AvgPool,468,139.87479914529914
AvgPoolGrad,gradient_tape/sequential/average_pooling2d/AvgPool/AvgPoolGrad,468,706.1152115384615
AvgPoolGrad,gradient_tape/sequential/average_pooling2d_1/AvgPool/AvgPoolGrad,468,196.58375
BiasAddGrad,gradient_tape/sequential/conv2d/BiasAdd/BiasAddGrad,468,1928.1154700854706
BiasAddGrad,gradient_tape/sequential/conv2d_1/BiasAdd/BiasAddGrad,468,169.22156837606838
BiasAddGrad,gradient_tape/sequential/dense/BiasAdd/BiasAddGrad,468,10.304839743589744
BiasAddGrad,gradient_tape/sequential/dense_1/BiasAdd/BiasAddGrad,468,9.250235042735042
BiasAddGrad,gradient_tape/sequential/dense_2/BiasAdd/BiasAddGrad,468,6.1212927350427355
Cast,Cast_1,468,2.8274572649572653
Cast,Cast_2,468,1.8887970085470085
Cast,categorical_crossentropy/weighted_loss/num_elements/Cast,468,2.2162393162393164
ConcatenateDataset,ConcatenateDataset,2,7.4065
Conv2DBackpropFilter,gradient_tape/sequential/conv2d/Conv2DBackpropFilter,468,7168.1086025641025
Conv2DBackpropFilter,gradient_tape/sequential/conv2d_1/Conv2DBackpropFilter,468,3108.794711538462
Conv2DBackpropInput,gradient_tape/sequential/conv2d_1/Conv2DBackpropInput,468,1994.0614615384616
Dataset,Iterator::Model,468,16.85245512820513
Dataset,Iterator::Model::ParallelMapV2,468,32.36134401709402
Dataset,Iterator::Model::ParallelMapV2::Zip,472,8.132175847457628
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap,472,10.925682203389831
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch,2,1305.8210000000001
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map,3,1826.610333333333
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat,3,111.95833333333331
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat::Range,5,3.8084
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate,470,4.297629787234042
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[0]::TensorSlice,469,11.641955223880597
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[1]::FromTensor,2,1.7075
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate,3,2.3890000000000002
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate[0]::TensorSlice,3,7.6736666666666675
Dataset,Iterator::Model::ParallelMapV2::Zip[1]::ForeverRepeat,472,33.175773305084746
Dataset,Iterator::Model::ParallelMapV2::Zip[1]::ForeverRepeat::FromTensor,943,3.7254867444326623
DivNoNan,categorical_crossentropy/weighted_loss/value,468,1.9255726495726493
DivNoNan,div_no_nan,468,2.0521623931623934
DivNoNan,div_no_nan_1,468,3.57506623931624
DivNoNan,gradient_tape/categorical_crossentropy/weighted_loss/value/div_no_nan,468,2.33834829059829
Equal,Equal,468,4.351844017094018
Equal,Equal_1,468,1.723267094017094
Equal,Equal_2,468,1.6551004273504273
Fill,Fill,3,25.188000000000002
FloorMod,mod,468,2.5935170940170944
FloorMod,mod_1,468,2.5866153846153845
FlushSummaryWriter,FlushSummaryWriter,1,786.385
GatherV2,GatherV2,472,1822.9478516949155
GatherV2,GatherV2_1,472,22.09333474576271
IDLE,IDLE,0,0.0
Identity,Identity,1,0.745
IteratorGetNext,IteratorGetNext,468,7.991185897435898
LogicalAnd,LogicalAnd,1,15.32
LogicalNot,LogicalNot,6,2.7945
MatMul,gradient_tape/sequential/dense/MatMul,468,241.71507051282046
MatMul,gradient_tape/sequential/dense/MatMul_1,468,251.00177777777776
MatMul,gradient_tape/sequential/dense_1/MatMul,468,95.2905235042735
MatMul,gradient_tape/sequential/dense_1/MatMul_1,468,115.906155982906
MatMul,gradient_tape/sequential/dense_2/MatMul,468,29.784303418803415
MatMul,gradient_tape/sequential/dense_2/MatMul_1,468,48.86629914529914
Mul,gradient_tape/categorical_crossentropy/softmax_cross_entropy_with_logits/mul,468,13.757867521367519
Pack,categorical_crossentropy/softmax_cross_entropy_with_logits/Slice/begin,2,3.986
Pack,categorical_crossentropy/softmax_cross_entropy_with_logits/Slice_1/begin,2,1.868
Pack,categorical_crossentropy/softmax_cross_entropy_with_logits/Slice_2/size,2,1.7025
RandomShuffle,RandomShuffle,3,1683.25
ReadVariableOp,ReadVariableOp,468,0.7249935897435899
ReadVariableOp,ReadVariableOp_1,468,1.770042735042735
ReadVariableOp,SGD/Cast/ReadVariableOp,468,1.3813269230769232
ReadVariableOp,cond/then/_0/batch_loss/ReadVariableOp,468,1.0517286324786326
ReadVariableOp,cond_1/then/_10/batch_accuracy/ReadVariableOp,468,1.1637670940170939
ReadVariableOp,div_no_nan/ReadVariableOp,468,1.3392905982905985
