Type,Operation,#Occurrences,Avg. self-time (us)
ArgMax,ArgMax,117,511.20467521367516
ArgMax,ArgMax_1,117,20.934547008547014
Assert,Assert,6,0.38766666666666666
AssignAddVariableOp,AssignAddVariableOp,117,6.404051282051282
AssignAddVariableOp,AssignAddVariableOp_1,117,2.5832478632478635
AssignAddVariableOp,AssignAddVariableOp_2,117,11.209666666666667
AssignAddVariableOp,AssignAddVariableOp_3,117,2.0816324786324785
AssignAddVariableOp,SGD/SGD/update_0/AssignAddVariableOp,117,5.785162393162392
AssignAddVariableOp,update_0/AssignAddVariableOp,117,8.504880341880343
AssignVariableOp,AssignVariableOp,6,10.1805
AvgPool,sequential/average_pooling2d/AvgPool,117,2255.736837606838
AvgPool,sequential/average_pooling2d_1/AvgPool,117,334.8472478632478
AvgPoolGrad,gradient_tape/sequential/average_pooling2d/AvgPool/AvgPoolGrad,117,1857.4466324786324
AvgPoolGrad,gradient_tape/sequential/average_pooling2d_1/AvgPool/AvgPoolGrad,117,535.2058803418803
BiasAddGrad,gradient_tape/sequential/conv2d/BiasAdd/BiasAddGrad,117,6422.789256410258
BiasAddGrad,gradient_tape/sequential/conv2d_1/BiasAdd/BiasAddGrad,117,550.7772991452991
BiasAddGrad,gradient_tape/sequential/dense/BiasAdd/BiasAddGrad,117,26.19064102564102
BiasAddGrad,gradient_tape/sequential/dense_1/BiasAdd/BiasAddGrad,117,23.670846153846153
BiasAddGrad,gradient_tape/sequential/dense_2/BiasAdd/BiasAddGrad,117,22.998982905982903
Cast,Cast_1,117,4.79968376068376
Cast,Cast_2,117,2.744350427350428
Cast,categorical_crossentropy/weighted_loss/num_elements/Cast,117,3.3266581196581195
CollectiveBcastSend,CollectiveBcastSend,12,2373.7670000000007
CollectiveReduce,div_no_nan/allreduce/CollectiveReduce,234,1605.1822222222222
CollectiveReduce,div_no_nan/allreduce_1/CollectiveReduce,234,1594.2674401709405
CollectiveReduce,div_no_nan_1/allreduce/CollectiveReduce,234,1589.6494316239316
CollectiveReduce,div_no_nan_1/allreduce_1/CollectiveReduce,234,1623.2679230769231
CollectiveReduce,scoped_allocator_1_1_CollectiveReduce,234,2668.130217948718
ConcatenateDataset,ConcatenateDataset,2,8.4745
Conv2DBackpropFilter,gradient_tape/sequential/conv2d/Conv2DBackpropFilter,117,19130.16815384616
Conv2DBackpropFilter,gradient_tape/sequential/conv2d_1/Conv2DBackpropFilter,117,9082.60641025641
Conv2DBackpropInput,gradient_tape/sequential/conv2d_1/Conv2DBackpropInput,117,5823.939914529915
Dataset,Iterator::Model,119,9.815336134453784
Dataset,Iterator::Model::Shard,119,18.059840336134453
Dataset,Iterator::Model::Shard::Prefetch,237,65.18791139240506
Dataset,Iterator::Model::Shard::Prefetch::Rebatch,239,7.157092050209205
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map,120,29.81609166666667
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2,120,103.882625
