Type,Operation,#Occurrences,Avg. self-time (us)
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN,13104,12.047420177045176
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_1,13104,6.4837261141636136
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_2,13104,7.3168434065934065
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_4,13104,14.729884539072039
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_5,13104,50.43324511599511
AddV2,Adam/add,468,6.2809871794871786
AddV2,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/add,13104,0.9851643009768012
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/add,13104,2.43203807997558
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/add_1,13104,1.3124828296703297
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/add,13104,34.13266971916972
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/add_1,13104,12.094387515262516
ArgMax,ArgMax,468,11.300273504273505
Assert,Assert,21,0.21719047619047616
AssignAddVariableOp,Adam/Adam/AssignAddVariableOp,468,4.932179487179488
AssignAddVariableOp,AssignAddVariableOp,468,4.72659829059829
AssignAddVariableOp,AssignAddVariableOp_1,468,2.167623931623932
AssignAddVariableOp,AssignAddVariableOp_2,468,6.6706709401709405
AssignAddVariableOp,AssignAddVariableOp_3,468,1.3922970085470086
AssignAddVariableOp,AssignAddVariableOp_4,468,3.2737948717948724
AssignVariableOp,AssignVariableOp,21,5.5412857142857135
BiasAdd,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/BiasAdd,13104,50.365898122710625
BiasAddGrad,gradient_tape/sequential/dense/BiasAdd/BiasAddGrad,468,6.769675213675214
BiasAddGrad,gradient_tape/sequential/dense_1/BiasAdd/BiasAddGrad,468,7.363344017094017
BiasAddGrad,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/BiasAdd_grad/BiasAddGrad,13104,76.50270520451771
Cast,Adam/Cast_1,468,2.461760683760684
Cast,ArithmeticOptimizer/ReorderCastLikeAndValuePreserving_float_Cast,468,4.681108974358973
Cast,Cast,468,2.6040662393162397
Cast,Cast_3,468,2.6506175213675216
Cast,Cast_4,468,1.9210833333333333
Cast,Cast_5,468,2.07358547008547
Cast,sequential/dropout/dropout/Cast,468,41.97648076923077
Cast,sequential/dropout_1/dropout/Cast,468,11.698978632478633
Cast,sparse_categorical_crossentropy/ArithmeticOptimizer/ReorderCastLikeAndValuePreserving_int64_Cast,468,3.945450854700855
Cast,sparse_categorical_crossentropy/weighted_loss/num_elements/Cast,468,1.8227029914529915
ConcatV2,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/split_grad/concat,13104,64.91388881257632
ConcatenateDataset,ConcatenateDataset,2,5.7
Dataset,Iterator::Model,468,16.393536324786325
Dataset,Iterator::Model::ParallelMapV2,468,29.33774572649573
Dataset,Iterator::Model::ParallelMapV2::Zip,472,8.229658898305084
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap,472,4.342247881355933
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch,2,1373.9185
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map,3,2160.7526666666668
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat,3,25.42133333333333
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat::Range,5,2.7146
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate,470,3.813317021276596
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[0]::TensorSlice,469,12.551027718550104
