Type,Operation,#Occurrences,Avg. self-time (us)
AddN,AddN,26236,7.06450274432078
AddN,AddN_1,26236,4.279008194846775
AddN,AddN_2,26236,5.716944046348529
AddN,AddN_4,26236,9.668714857447783
AddN,AddN_5,26236,44.71661266961428
ArgMax,ArgMax,937,8.998102454642478
Assert,Assert,21,0.2730952380952381
AssignAddVariableOp,AssignAddVariableOp,937,5.719057630736393
AssignAddVariableOp,AssignAddVariableOp,937,3.14162113127001
AssignAddVariableOp,AssignAddVariableOp_1,937,1.3433596584845249
AssignAddVariableOp,AssignAddVariableOp_2,937,6.177260405549626
AssignAddVariableOp,AssignAddVariableOp_3,937,1.3229562433297757
AssignAddVariableOp,AssignAddVariableOp_4,937,3.965806830309498
AssignVariableOp,AssignVariableOp,21,6.167904761904762
BiasAdd,BiasAdd,26236,26.31821459063881
_FusedMatMul,BiasAdd,937,11.901985058697973
BiasAddGrad,BiasAddGrad,26236,22.364931811251715
BiasAddGrad,BiasAddGrad,937,6.934876200640343
BiasAddGrad,BiasAddGrad,937,5.483499466382071
Cast,Cast,937,21.097367129135534
Cast,Cast,937,6.411393810032017
Cast,Cast,937,2.287204909284952
Cast,Cast,937,1.6871856990394878
Cast,Cast_1,937,2.5872006403415155
Cast,Cast_3,937,2.045368196371398
Cast,Cast_4,937,1.9021323372465315
Cast,Cast_5,937,1.7324429028815367
ConcatenateDataset,ConcatenateDataset,2,6.4505
Equal,Equal,937,5.028119530416221
Equal,Equal_1,937,3.663960512273212
Equal,Equal_2,937,3.2875613660619
Fill,Fill,17,128.54011764705882
FlushSummaryWriter,FlushSummaryWriter,1,1440.886
GatherV2,GatherV2,941,70.95553878852284
GatherV2,GatherV2_1,941,22.433816153028694
GreaterEqual,GreaterEqual,937,12.373663820704374
GreaterEqual,GreaterEqual,937,3.4923874066168623
IDLE,IDLE,0,0.0
Identity,Identity,1,1.176
Dataset,Iterator::Model,937,15.325408751334045
Dataset,Iterator::Model::ParallelMapV2,937,27.474145144076843
Dataset,Iterator::Model::ParallelMapV2::Zip,941,7.193039319872477
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap,941,5.055116896918172
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch,2,1230.0625
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map,3,1717.005
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat,3,27.53733333333333
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat::Range,5,13.723400000000002
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate,939,3.2537390841320555
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[0]::TensorSlice,938,5.473815565031984
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[1]::FromTensor,2,1.2025
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate,3,2.0036666666666667
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate[0]::TensorSlice,3,7.147333333333332
Dataset,Iterator::Model::ParallelMapV2::Zip[1]::ForeverRepeat,941,27.114927736450586
Dataset,Iterator::Model::ParallelMapV2::Zip[1]::ForeverRepeat::FromTensor,1881,2.5829457735247208
IteratorGetNext,IteratorGetNext,937,17.017259338313767
Less,Less,27173,1.4724768336216096
Less,Less,27173,1.235653442755677
LogicalAnd,LogicalAnd,1,9.495
LogicalNot,LogicalNot,21,2.2787619047619048
MatMul,MatMul,26236,254.4486121741119
MatMul,MatMul,26236,68.11033160542766
MatMul,MatMul,937,32.800768409818566
MatMul,MatMul,937,10.876695837780149
MatMul,MatMul_1,26236,319.69017639884134
MatMul,MatMul_1,26236,197.84334216343956
MatMul,MatMul_1,26236,152.1822385272145
MatMul,MatMul_1,937,40.43181323372465
MatMul,MatMul_1,937,14.51787940234792
