Name,CPU time avg (us),CPU total (us),Self CPU time total (us),Number of Calls
AddBackward0,1.8374553672477703,30896.812000271246,30896.812000271246,16815.0
AddmmBackward,2154.4007324858358,19066446.48249965,194563.38749886103,8850.0
LogSoftmaxBackward,934.5877644068742,275703.3905000279,3160.82399996178,295.0
MmBackward,9505.735011864319,2804191.828499974,10198.174000028666,295.0
MulBackward0,113.50726736302923,2879679.373000052,268356.5495010013,25370.0
NllLossBackward,76.40468474585273,22539.382000026555,6864.335999960298,295.0
ReluBackward0,33.415794915259994,9857.659500001697,2425.4354999740026,295.0
SelectBackward,876.8328220338944,258665.6824999989,21023.52699985987,295.0
SigmoidBackward,45.117280225980046,1118006.2039997857,148462.20150020494,24780.0
SliceBackward,714.8649635593162,421770.32849999657,173783.43150011462,590.0
SplitBackward,300.05965871671435,2478492.781000061,67269.09550006222,8260.0
StackBackward,92.78685423710016,27372.121999944546,1649.7709999281942,295.0
TBackward,11.001740349885694,100610.91549970467,33279.24949938952,9145.0
TanhBackward,265.13805211862723,4380080.620999722,101611.1364999314,16520.0
TransposeBackward0,14.794647457312607,4364.420999907219,1435.9579997896217,295.0
UnbindBackward,10626.642515254214,3134859.5419999934,3411.4959999602574,295.0
UnsafeViewBackward,14.891355932228587,4392.950000007433,1682.0380000166188,295.0
_local_scalar_dense,1.639080944612986,245878.532501394,245878.532501394,150010.0
_log_softmax,127.16373220352547,37513.30100004001,37513.30100004001,295.0
_log_softmax_backward_data,923.8731067798849,272542.566500066,272542.566500066,295.0
_unsafe_view,36.077728813576044,10642.930000004933,10642.930000004933,295.0
add,48.054783568709055,1531025.4044990705,1531025.4044990705,31860.0
add_,75.19530744757174,1796190.3090001459,1796190.3090001459,23887.0
addcdiv_,18.984958050845172,44804.500999994605,44804.500999994605,2360.0
addcmul_,16.024505932199645,37817.83399999116,37817.83399999116,2360.0
addmm,726.8325753672013,6432468.291999731,6432468.291999731,8850.0
bernoulli_,159.70239491547045,94224.41300012759,94224.41300012759,590.0
cat,291.9157004237287,2411223.6854999987,2411223.6854999987,8260.0
chunk,20.39856767552719,168492.16899985462,20338.25849975887,8260.0
contiguous,691.8400610169665,204092.8180000051,201000.7695000084,295.0
cudnn_is_acceptable,2.0108525422530477,593.201499964649,593.201499964649,295.0
detach,1.4859374999941792,11.887499999953436,11.887499999953436,8.0
detach_,0.7181673592608193,1900.9889999633888,1900.9889999633888,2647.0
div,16.668759418473577,2539652.1849986347,2539652.1849986347,152360.0
div_,235.01015028249242,207983.98300000577,207983.98300000577,885.0
dropout,283.5290169490746,167282.119999954,6085.909499803252,590.0
empty,3.614111773878431,1090630.5100032939,1090630.5100032939,301770.0
empty_like,9.623046327677073,8516.395999994209,3480.276500046959,885.0
is_complex,0.910099998784068,4.55049999392034,4.55049999392034,5.0
is_floating_point,2.341950000184773,23.419500001847723,23.419500001847723,10.0
item,3.146567202198028,472016.5460017262,226138.0135003322,150010.0
linear,1056.7904826417462,9040842.579000138,36644.63550012451,8555.0
log_softmax,131.85101525426205,38896.0495000073,1382.7484999672888,295.0
lstm,73139.49807288134,21576151.931499995,214359.03100022508,295.0
matmul,7048.893991525478,2079423.7275000159,8837.32699999668,295.0
mm,1292.3437997221436,23255726.67599997,23255726.67599997,17995.0
mul,58.14333760716682,4373832.571499124,4373832.571499124,75225.0
mul_,23.215837076320728,109578.75100023384,109578.75100023384,4720.0
narrow,17.07232595345318,80581.37850029902,14469.55400039423,4720.0
nll_loss,33.75570169481783,9957.93199997126,1309.8569999794709,295.0
nll_loss_backward,53.13574915276698,15675.046000066257,15675.046000066257,295.0
nll_loss_forward,29.315508474548437,8648.07499999179,8648.07499999179,295.0
random_,39.25339999956191,196.26699999780953,196.26699999780953,5.0
relu,39.25151016948551,11579.195499998226,11579.195499998226,295.0
reshape,17.733829660927807,10462.959499947407,2359.3249999636682,590.0
select,4.745321898597659,1426396.3094994698,1426396.3094994698,300590.0
set_,4.482029160012295,672304.3740018442,672304.3740018442,150000.0
sigmoid_,125.78836222759998,3117035.615999927,3117035.615999927,24780.0
sigmoid_backward,39.126069511686055,969544.0024995804,969544.0024995804,24780.0
slice,12.941179576230311,76352.95949975884,76352.95949975884,5900.0
split,17.936308777251302,148153.91050009575,148153.91050009575,8260.0
sqrt,63.97567838984016,150982.60100002278,150982.60100002278,2360.0
stack,2991.6176210169806,4412635.991000046,4412635.991000046,1475.0
sum,183.8606169491888,1681405.3420003317,1681405.3420003317,9145.0
tanh,246.9828953994713,2040078.715999633,2040078.715999633,8260.0
tanh_,386.4719469128332,3192258.281500002,3192258.281500002,8260.0
tanh_backward,258.98725693098004,4278469.484499791,4278469.484499791,16520.0
threshold_backward,25.19397966111083,7432.224000027694,7432.224000027694,295.0
to,13.846290528643156,2081028.2350024227,1566278.1585004732,150295.0
torch::autograd::AccumulateGrad,21.271402754142727,50200.510499776836,11308.103499810008,2360.0
torch::autograd::GraphRoot,2.1965796609056456,647.9909999671654,647.9909999671654,295.0
transpose,4.714583940710605,1418547.5890007103,1418547.5890007103,300885.0
unbind,55.69251822038992,65717.17150006011,65717.17150006011,1180.0
unsigned short,9.403464284951275,424425.36050127575,424425.36050127575,45135.0
view,8.696786925646123,1432795.6460001986,1432795.6460001986,164750.0
zero_,150.5375962310519,487290.19899991504,487290.19899991504,3237.0
zeros,537.9845966102874,476116.3680001043,3540.1480000792217,885.0
