Type,Operation,#Occurrences,Avg. self-time (us)
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[1]::ForeverRepeat,124,99.9845
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[1]::ForeverRepeat::FromTensor,247,5.724939271255059
Dataset,Iterator::Prefetch,117,82.51506837606837
Dataset,Iterator::Prefetch::Generator,118,359.14005932203384
DivNoNan,div_no_nan,117,4.612615384615385
DivNoNan,div_no_nan_1,117,10.144905982905982
DivNoNan,gradient_tape/sparse_categorical_crossentropy/weighted_loss/value/div_no_nan,117,7.9671025641025635
DivNoNan,sparse_categorical_crossentropy/weighted_loss/value,117,2.792666666666667
EmptyTensorList,gradient_tape/sequential/lstm/while/sequential/lstm/while/Placeholder_0/accumulator,1,1.215
EmptyTensorList,gradient_tape/sequential/lstm/while/sequential/lstm/while/TensorArrayV2Read/TensorListGetItem_0/accumulator,1,1.285
EmptyTensorList,gradient_tape/sequential/lstm/while/sequential/lstm/while/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/mul_2_grad/Shape_0/accumulator,1,1.247
EmptyTensorList,gradient_tape/sequential/lstm/while/sequential/lstm/while/lstm_cell/MatMul/ReadVariableOp_0/accumulator,1,1.2329999999999999
EmptyTensorList,gradient_tape/sequential/lstm/while/sequential/lstm/while/lstm_cell/MatMul_1/ReadVariableOp_0/accumulator,1,1.511
EmptyTensorList,gradient_tape/sequential/lstm/while/sequential/lstm/while/lstm_cell/mul_2_0/accumulator,1,25.914
Equal,Equal,117,6.75334188034188
Equal,Equal_1,117,2.7893504273504277
Equal,Equal_2,117,8.852444444444446
Fill,Fill,17,42.07882352941176
Fill,gradient_tape/sequential/lstm/while/zeros,117,17.088264957264958
Fill,gradient_tape/sequential/lstm/while/zeros_1,117,48.85079487179486
Fill,gradient_tape/sequential/lstm/while/zeros_2,117,8.002495726495727
Fill,sequential/lstm/zeros_1,117,21.780700854700857
FloorMod,mod,117,11.728957264957266
FloorMod,mod_1,117,8.130615384615384
FlushSummaryWriter,FlushSummaryWriter,1,3537.756
GatherV2,GatherV2,124,954.2963951612904
GatherV2,GatherV2_1,124,127.03437903225807
GreaterEqual,sequential/dropout/dropout/GreaterEqual,117,82.23986324786325
GreaterEqual,sequential/dropout_1/dropout/GreaterEqual,117,9.462829059829062
IDLE,IDLE,0,0.0
Identity,Identity,22,1.6012272727272725
IteratorGetNext,IteratorGetNext,117,36.655752136752135
Less,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/cond/_158/gradient_tape/sequential/lstm/while/Less,3393,1.9799198349543181
Less,sequential/lstm/while/cond/_0/sequential/lstm/while/Less,3393,2.851343353964044
LogicalAnd,LogicalAnd,1,18.07
LogicalNot,LogicalNot,21,4.442952380952382
MatMul,gradient_tape/sequential/dense/MatMul,117,142.80360683760685
MatMul,gradient_tape/sequential/dense/MatMul_1,117,313.471452991453
MatMul,gradient_tape/sequential/dense_1/MatMul,117,55.15920512820514
MatMul,gradient_tape/sequential/dense_1/MatMul_1,117,165.2810598290598
MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_1_grad/MatMul,3276,765.5109352869353
MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_1_grad/MatMul_1,3276,638.6734114774115
MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_grad/MatMul_1,3276,395.26611477411467
MatMul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/MatMul,3276,287.51178876678875
MatMul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/MatMul_1,3276,477.15051862026866
Mul,gradient_tape/sequential/dropout/dropout/Mul,117,16.860717948717948
Mul,gradient_tape/sequential/dropout/dropout/Mul_1,117,15.567042735042735
Mul,gradient_tape/sequential/dropout_1/dropout/Mul,117,12.07205982905983
Mul,gradient_tape/sequential/dropout_1/dropout/Mul_1,117,6.7752905982905975
Mul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/mul_1_grad/Mul,3276,31.102186507936512
Mul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/mul_1_grad/Mul_1,3276,29.594272588522593
Mul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/mul_2_grad/Mul,3276,28.777464285714284
Mul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/mul_2_grad/Mul_1,3276,33.5671510989011
Mul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/mul_grad/Mul,3276,25.74497222222222
Mul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/mul_grad/Mul_1,3276,32.62040231990232
Mul,gradient_tape/sparse_categorical_crossentropy/SparseSoftmaxCrossEntropyWithLogits/mul,117,62.547863247863255
Mul,sequential/dropout/dropout/Mul,117,29.97475213675213
Mul,sequential/dropout/dropout/Mul_1,117,14.218444444444444
Mul,sequential/dropout_1/dropout/Mul,117,6.265034188034187
Mul,sequential/dropout_1/dropout/Mul_1,117,3.346598290598291
Mul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/mul,3276,27.152770146520147
Mul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/mul_1,3276,28.38383424908425
Mul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/mul_2,3276,28.042572954822955
MultiDeviceIteratorFromStringHandle,MultiDeviceIteratorFromStringHandle,118,24.696169491525424
MultiDeviceIteratorGetNextFromShard,MultiDeviceIteratorGetNextFromShard,118,42.24298305084746
Pack,sequential/lstm/zeros_1/packed,117,8.343700854700854
Pack,sparse_categorical_crossentropy/Reshape_1/shape,117,6.764735042735043
Pow,Adam/Pow,117,29.22823076923077
Pow,Adam/Pow_1,117,6.377000000000002
RandomShuffle,RandomShuffle,3,1943.043333333333
RandomUniform,sequential/dropout/dropout/random_uniform/RandomUniform,117,187.6369743589744
RandomUniform,sequential/dropout_1/dropout/random_uniform/RandomUniform,117,85.88405982905981
ReadVariableOp,Adam/Cast/ReadVariableOp,117,2.152521367521368
