Type,Operation,#Occurrences,Avg. self-time (us)
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN,13104,7.294911401098901
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_1,13104,3.941845848595849
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_2,13104,4.3605860805860805
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_4,13104,14.706092872405375
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_5,13104,59.26943238705738
AddV2,Adam/add,468,13.907042735042735
AddV2,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/add,13104,0.8340115995115995
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/add,13104,1.978148351648352
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/add_1,13104,1.2117413003663002
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/add,13104,14.554468711843713
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/add_1,13104,6.109197802197803
ArgMax,ArgMax,468,15.563525641025642
Assert,Assert,21,0.5615238095238095
AssignAddVariableOp,Adam/Adam/update_0/AssignAddVariableOp,468,4.891264957264958
AssignAddVariableOp,AssignAddVariableOp,468,8.543358974358974
AssignAddVariableOp,AssignAddVariableOp_1,468,3.0389337606837605
AssignAddVariableOp,AssignAddVariableOp_2,468,11.95390811965812
AssignAddVariableOp,AssignAddVariableOp_3,468,3.461361111111111
AssignAddVariableOp,update_0/AssignAddVariableOp,468,10.815818376068378
AssignVariableOp,AssignVariableOp,21,13.943857142857144
BiasAdd,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/BiasAdd,13104,21.719131410256413
BiasAddGrad,gradient_tape/sequential/dense/BiasAdd/BiasAddGrad,468,10.586694444444444
BiasAddGrad,gradient_tape/sequential/dense_1/BiasAdd/BiasAddGrad,468,11.174282051282052
BiasAddGrad,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/BiasAdd_grad/BiasAddGrad,13104,20.34748885836386
Cast,Adam/Cast_1,468,3.5440705128205128
Cast,ArithmeticOptimizer/ReorderCastLikeAndValuePreserving_float_Cast,468,4.219403846153846
Cast,Cast,468,2.487089743589744
Cast,Cast_3,468,3.1863504273504275
Cast,Cast_4,468,2.9610000000000003
Cast,Cast_5,468,2.8328183760683765
Cast,sequential/dropout/dropout/Cast,468,20.35015598290598
Cast,sequential/dropout_1/dropout/Cast,468,6.7476730769230775
Cast,sparse_categorical_crossentropy/ArithmeticOptimizer/ReorderCastLikeAndValuePreserving_int64_Cast,468,3.5100277777777777
Cast,sparse_categorical_crossentropy/weighted_loss/num_elements/Cast,468,2.4308418803418803
CollectiveBcastSend,CollectiveBcastSend,42,2110.576642857143
CollectiveReduce,allreduce/CollectiveReduce,936,2412.354250000001
CollectiveReduce,allreduce/CollectiveReduce_1,936,2658.2433472222224
CollectiveReduce,allreduce/CollectiveReduce_2,936,2487.1124102564104
CollectiveReduce,allreduce/CollectiveReduce_3,936,2668.253699786325
CollectiveReduce,allreduce/CollectiveReduce_4,936,3616.5943034188035
CollectiveReduce,allreduce/CollectiveReduce_5,936,4175.171988247864
CollectiveReduce,allreduce/CollectiveReduce_6,936,3749.454751068376
CollectiveReduce,div_no_nan/allreduce/CollectiveReduce,936,2425.7776388888888
CollectiveReduce,div_no_nan/allreduce_1/CollectiveReduce,936,2432.179044871795
CollectiveReduce,div_no_nan_1/allreduce/CollectiveReduce,936,2417.3186645299147
CollectiveReduce,div_no_nan_1/allreduce_1/CollectiveReduce,936,2398.167576923077
ConcatV2,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/split_grad/concat,13104,26.75168643162393
ConcatenateDataset,ConcatenateDataset,2,6.5329999999999995
Dataset,Iterator::Model,470,11.203455319148937
Dataset,Iterator::Model::Shard,470,21.398936170212764
Dataset,Iterator::Model::Shard::Prefetch,1408,13.58761150568182
Dataset,Iterator::Model::Shard::Prefetch::Rebatch,1411,6.180060240963856
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map,471,10.516953290870488
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2,471,26.04853503184713
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip,475,8.108044210526316
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap,475,5.241031578947369
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch,2,1117.007
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map,3,1950.3853333333332
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat,3,27.253666666666664
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat::Range,5,3.5322000000000005
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate,470,4.439059574468086
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[0]::TensorSlice,469,8.724825159914714
