Rank,Host/device,Type,Operation,#Occurrences,Total time (us),Avg. time (us),Total self-time (us),Avg. self-time (us),Total self-time on Device (%),Cumulative total-self time on Device (%),Total self-time on Host (%),Cumulative total-self time on Host (%)
1,Host,IDLE,IDLE,0,411041164.881,0.0,411041164.881,0.0,0.0,0.0,0.8881253279201518,0.8881253279201518
2,Host,MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_1_grad/MatMul_1,13104,4385781.523,334.6902871642247,4385781.523,334.6902871642247,0.0,0.0,0.009476237384711067,0.8976015653048628
3,Host,CollectiveReduce,allreduce/CollectiveReduce_5,936,3907960.981,4175.171988247864,3907960.981,4175.171988247864,0.0,0.0,0.008443823695260784,0.9060453890001235
4,Host,MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_1_grad/MatMul,13104,3865111.025,294.95658005189256,3865111.025,294.95658005189256,0.0,0.0,0.008351238975102935,0.9143966279752265
5,Host,CollectiveReduce,allreduce/CollectiveReduce_6,936,3509489.647,3749.454751068376,3509489.647,3749.454751068376,0.0,0.0,0.007582857654844893,0.9219794856300714
6,Host,CollectiveReduce,allreduce/CollectiveReduce_4,936,3385132.268,3616.5943034188035,3385132.268,3616.5943034188035,0.0,0.0,0.007314162089923457,0.9292936477199948
7,Host,MatMul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/MatMul_1,13104,2833855.384,216.25880525030524,2833855.384,216.25880525030524,0.0,0.0,0.006123033304758974,0.9354166810247537
8,Host,CollectiveReduce,allreduce/CollectiveReduce_3,936,2497485.463,2668.253699786325,2497485.463,2668.253699786325,0.0,0.0,0.005396248077597874,0.9408129291023516
9,Host,CollectiveReduce,allreduce/CollectiveReduce_1,936,2488115.773,2658.2433472222224,2488115.773,2658.2433472222224,0.0,0.0,0.005376003246386944,0.9461889323487386
10,Host,CollectiveReduce,allreduce/CollectiveReduce_2,936,2327937.216,2487.1124102564104,2327937.216,2487.1124102564104,0.0,0.0,0.005029909848411617,0.9512188421971501
11,Host,CollectiveReduce,div_no_nan/allreduce_1/CollectiveReduce,936,2276519.586,2432.179044871795,2276519.586,2432.179044871795,0.0,0.0,0.0049188131909324384,0.9561376553880826
12,Host,CollectiveReduce,div_no_nan/allreduce/CollectiveReduce,936,2270527.87,2425.777638888889,2270527.87,2425.777638888889,0.0,0.0,0.00490586705513885,0.9610435224432214
13,Host,CollectiveReduce,div_no_nan_1/allreduce/CollectiveReduce,936,2262610.27,2417.3186645299147,2262610.27,2417.3186645299147,0.0,0.0,0.004888759714811084,0.9659322821580325
14,Host,CollectiveReduce,allreduce/CollectiveReduce,936,2257963.578,2412.3542500000003,2257963.578,2412.3542500000003,0.0,0.0,0.004878719735342266,0.9708110018933748
15,Host,CollectiveReduce,div_no_nan_1/allreduce_1/CollectiveReduce,936,2244684.852,2398.167576923077,2244684.852,2398.167576923077,0.0,0.0,0.00485002875767212,0.9756610306510469
16,Host,MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_grad/MatMul_1,13104,2058115.078,157.06006394993895,2058115.078,157.06006394993895,0.0,0.0,0.0044469125837441155,0.980107943234791
17,Host,MatMul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/MatMul,13104,830439.604,63.37298565323566,830439.604,63.37298565323566,0.0,0.0,0.0017943079881887344,0.9819022512229797
18,Host,AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_5,13104,776666.642,59.269432387057385,776666.642,59.269432387057385,0.0,0.0,0.0016781222297056054,0.9835803734526853
19,Host,ConcatV2,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/split_grad/concat,13104,350554.099,26.75168643162393,350554.099,26.75168643162393,0.0,0.0,0.0007574325900381846,0.9843378060427235
20,Host,Split,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/split,13104,321016.052,24.49756196581197,321016.052,24.49756196581197,0.0,0.0,0.0006936105451449666,0.9850314165878684
21,Host,ReluGrad,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/Relu_1_grad/ReluGrad,13104,311510.411,23.772162011599512,311510.411,23.772162011599512,0.0,0.0,0.0006730719683514225,0.9857044885562198
22,Host,ReluGrad,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/Relu_grad/ReluGrad,13104,293588.001,22.40445673076923,293588.001,22.40445673076923,0.0,0.0,0.0006343475105152405,0.9863388360667351
23,Host,BiasAdd,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/BiasAdd,13104,284607.498,21.719131410256413,284607.498,21.719131410256413,0.0,0.0,0.000614943584939874,0.986953779651675
24,Host,BiasAddGrad,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/BiasAdd_grad/BiasAddGrad,13104,266633.494,20.34748885836386,266633.494,20.34748885836386,0.0,0.0,0.0005761076493684097,0.9875298873010434
25,Host,TensorListFromTensor,gradient_tape/sequential/lstm/TensorArrayV2Stack/TensorListFromTensor,468,231466.72,494.58700854700857,231466.72,494.58700854700857,0.0,0.0,0.0005001237690198661,0.9880300110700633
26,Host,StridedSliceGrad,gradient_tape/sequential/lstm/strided_slice_3/StridedSliceGrad,468,225881.117,482.6519594017094,225881.117,482.6519594017094,0.0,0.0,0.0004880551104040242,0.9885180661804673
27,Host,AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_4,13104,192708.641,14.706092872405373,192708.641,14.706092872405373,0.0,0.0,0.0004163802548358412,0.9889344464353031
