Type,Operation,#Occurrences,Avg. self-time (us)
ArgMax,ArgMax,937,38.43365741728922
ArgMax,ArgMax_1,937,5.866604055496263
Assert,Assert,6,0.6511666666666667
AssignAddVariableOp,AssignAddVariableOp,937,8.454314834578442
AssignAddVariableOp,AssignAddVariableOp,937,5.960592315901813
AssignAddVariableOp,AssignAddVariableOp,937,4.375027748132337
AssignAddVariableOp,AssignAddVariableOp_1,937,2.170052294557097
AssignAddVariableOp,AssignAddVariableOp_2,937,7.872979722518678
AssignAddVariableOp,AssignAddVariableOp_3,937,1.6707278548559232
AssignVariableOp,AssignVariableOp,6,16.273666666666667
AvgPool,AvgPool,937,394.22226680896483
AvgPool,AvgPool,937,115.68690715048024
AvgPoolGrad,AvgPoolGrad,937,357.32868089647815
AvgPoolGrad,AvgPoolGrad,937,83.58095944503735
_FusedConv2D,BiasAdd,937,2498.160992529349
_FusedConv2D,BiasAdd,937,464.53744823906084
_FusedMatMul,BiasAdd,937,65.56837566702241
_FusedMatMul,BiasAdd,937,31.996503735325504
_FusedMatMul,BiasAdd,937,10.390771611526148
BiasAddGrad,BiasAddGrad,937,329.3449359658485
BiasAddGrad,BiasAddGrad,937,45.615639274279616
BiasAddGrad,BiasAddGrad,937,14.409556029882605
BiasAddGrad,BiasAddGrad,937,12.871453575240128
BiasAddGrad,BiasAddGrad,937,11.71108537886873
Cast,Cast,937,4.015446104589113
Cast,Cast_1,937,3.1689402347918887
Cast,Cast_2,937,3.9866723585912487
CollectiveBcastSend,CollectiveBcastSend,12,2129.306083333333
CollectiveReduce,CollectiveReduce,1874,1734.231705976521
CollectiveReduce,CollectiveReduce,1874,1704.58824226254
CollectiveReduce,CollectiveReduce,1874,1675.859682497332
CollectiveReduce,CollectiveReduce,1874,1666.817613127001
ConcatenateDataset,ConcatenateDataset,2,9.3515
Conv2DBackpropFilter,Conv2DBackpropFilter,937,2420.468053361793
Conv2DBackpropFilter,Conv2DBackpropFilter,937,1685.5909519743866
Conv2DBackpropInput,Conv2DBackpropInput,937,1028.3597833511203
Equal,Equal,937,4.6679018143009605
Equal,Equal_1,937,3.5063874066168625
Equal,Equal_2,937,3.0466232657417285
Fill,Fill,3,67.07600000000001
FlushSummaryWriter,FlushSummaryWriter,1,1310.9089999999999
GatherV2,GatherV2,944,142.68876377118642
GatherV2,GatherV2_1,944,22.470542372881354
IDLE,IDLE,0,0.0
Identity,Identity,7,1.9668571428571429
Dataset,Iterator::Model,939,7.29120447284345
Dataset,Iterator::Model::Shard,939,16.96679446219382
Dataset,Iterator::Model::Shard::Prefetch,2815,9.773138543516874
Dataset,Iterator::Model::Shard::Prefetch::Rebatch,2818,6.731717530163237
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map,940,10.102197872340426
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2,940,17.54711170212766
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip,944,8.929796610169491
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap,944,4.634806144067796
