Name,CPU time avg (us),CPU total (us),Self CPU time total (us),Number of Calls
AddmmBackward,1378.3883050847637,2439747.3000000315,46944.17100028785,1770.0
AvgPool2DBackward,3439.550282627064,4058669.3334999345,14373.864499892254,1180.0
LogSoftmaxBackward,1596.8450355934965,942138.571000163,7615.5770000828925,590.0
MkldnnConvolutionBackward,20983.17209491524,24760143.071999986,26715.95099988146,1180.0
NllLossBackward,81.50992033916023,48090.853000104544,14716.185999994472,590.0
TBackward,9.908655367294323,17538.32000011095,6901.563999951424,1770.0
TanhBackward,955.2873495761614,2254478.1449997406,29018.253499477723,2360.0
ViewBackward,18.83403983048582,11112.083499986635,3224.622500011945,590.0
_convolution,6462.885194915263,7626204.530000011,25475.502500199545,1180.0
_local_scalar_dense,1.5784035830924354,473552.6429993926,473552.6429993926,300020.0
_log_softmax,156.5205677967922,92347.1350001074,92347.1350001074,590.0
_log_softmax_backward_data,1583.9372779662376,934522.9940000802,934522.9940000802,590.0
add_,12.304911832089983,145074.9105003409,145074.9105003409,11790.0
addmm,595.0200709040633,1053185.5255001923,1053185.5255001923,1770.0
avg_pool2d,2179.7845542373325,2572145.7740000524,2572145.7740000524,1180.0
avg_pool2d_backward,3427.3690415254605,4044295.4690000424,4044295.4690000424,1180.0
contiguous,0.9048519773456064,3203.175999803447,3203.175999803447,3540.0
conv2d,6474.705197881422,7640152.133500077,6949.66400003121,1180.0
convolution,6468.815652118681,7633202.469500044,6997.939500033914,1180.0
detach,2.784449999997742,27.844499999977415,27.844499999977415,10.0
detach_,1.1671593364424608,7563.192500147146,7563.192500147146,6480.0
div,16.062603081671064,4818780.9245013185,4818780.9245013185,300000.0
div_,190.0891584746256,112152.6035000291,112152.6035000291,590.0
empty,3.705995849161119,2223597.509496671,2223597.509496671,600000.0
flatten,21.745656779708362,25659.875000055865,6252.874999995489,1180.0
is_complex,0.8666500006377731,8.666500006377731,8.666500006377731,10.0
is_floating_point,1.703125000075997,34.062500001519936,34.062500001519936,20.0
item,3.268082927808467,980490.2400010964,506937.59700170363,300020.0
log_softmax,163.3277881354401,96363.39499990965,4016.259999802249,590.0
mkldnn_convolution,6438.581230084752,7597525.851500007,7597525.851500007,1180.0
mkldnn_convolution_backward,20960.531458474667,24733427.1210001,24733427.1210001,1180.0
mm,661.7707094631978,2342668.3114997204,2342668.3114997204,3540.0
narrow,11.74267716095299,138563.59049924524,43921.14399908208,11800.0
nll_loss,40.027971186538736,23616.503000057855,3800.8730001316,590.0
nll_loss_backward,56.567232203576395,33374.66700011007,33374.66700011007,590.0
nll_loss_forward,33.585813559197035,19815.629999926256,19815.629999926256,590.0
random_,15.623149999205022,156.23149999205023,156.23149999205023,10.0
reshape,23.13089915257209,27294.461000035066,6719.041499920131,1180.0
select,4.712593071657929,2827555.8429947575,2827555.8429947575,600000.0
set_,4.328614263333696,1298584.279000109,1298584.279000109,300000.0
slice,8.020546313573153,94642.44650016319,94642.44650016319,11800.0
stack,1433.9769271185296,846046.3869999324,846046.3869999324,590.0
sum,74.75652118641065,132319.04249994684,132319.04249994684,1770.0
tanh,1368.7769519067242,3230313.6064998694,3230313.6064998694,2360.0
tanh_backward,942.991479449264,2225459.8915002635,2225459.8915002635,2360.0
to,13.81032295818254,4151244.97800009,3124900.5885016317,300590.0
torch::autograd::AccumulateGrad,20.539831779640643,121185.00749987978,32548.5294999997,5900.0
torch::autograd::GraphRoot,2.6734254238663597,1577.3210000811523,1577.3210000811523,590.0
transpose,4.427827948331131,2656696.768998678,2656696.768998678,600000.0
unsigned short,9.822972090440297,86933.30300039664,86933.30300039664,8850.0
view,8.026984489279359,2526493.368000678,2526493.368000678,314750.0
zero_,7.860025212208649,46295.54849990894,46295.54849990894,5890.0
