Name,CPU time avg (us),CPU total (us),Self CPU time total (us),Number of Calls
AddmmBackward,237.11634477607402,3336226.970999362,239769.7050006503,14070
AvgPool2DBackward,711.8695468017065,6677336.349000008,72433.91299968188,9380
LogSoftmaxBackward,53.66068017061989,251668.5900002073,37477.97100030497,4690
MkldnnConvolutionBackward,4159.921683475486,39020065.39100006,119805.1379994599,9380
NllLossBackward,51.71531300631182,242544.8179996025,77146.74399917325,4690
TBackward,7.682076261490338,108086.81299916904,36534.4849998652,14070
TanhBackward,198.52950165242686,3724413.4509995286,133240.59599907303,18760
ViewBackward,15.501589338820207,72702.45399906678,18479.300998608123,4690
_convolution,1504.1879214286694,14109282.703000918,104281.33700021324,9380
_local_scalar_dense,1.1633362504708935,698025.0170075456,698025.0170075456,600020
_log_softmax,48.50492494655138,227488.09799932592,227488.09799932592,4690
_log_softmax_backward_data,45.66964157780435,214190.61899990233,214190.61899990233,4690
add_,7.892905437673152,740275.6009993649,740275.6009993649,93790
addmm,107.08457547979795,1506679.9770007571,1506679.9770007571,14070
avg_pool2d,527.1649376332712,4944807.115000084,4944807.115000084,9380
avg_pool2d_backward,704.1473812367084,6604902.436000325,6604902.436000325,9380
contiguous,0.5736336531612627,16142.050999957935,16142.050999957935,28140
conv2d,1509.456254264382,14158699.664999904,24830.01300030813,9380
convolution,1506.8091313432403,14133869.651999595,24586.94899867859,9380
detach,1.7715999999985796,17.715999999985797,17.715999999985797,10
detach_,0.7721065916908779,39825.25799941549,39825.25799941549,51580
div,11.424825446665805,6854895.267999482,6854895.267999482,600000
empty,2.535435900825977,3042523.080991173,3042523.080991173,1200000
flatten,10.549093816535887,98950.49999910664,24236.67099915189,9380
is_complex,0.3902000042125565,3.902000042125565,3.902000042125565,10
is_floating_point,1.0283500011704858,20.56700002340972,20.56700002340972,20
item,2.380130198982,1428125.721993179,730100.7049856337,600020
log_softmax,51.961645842210295,243700.11899996625,16212.0210006403,4690
mkldnn_convolution,1491.3496071429367,13988859.315000745,13988859.315000745,9380
mkldnn_convolution_backward,4147.149280703689,38900260.2530006,38900260.2530006,9380
mm,99.78329548686119,2807901.935000273,2807901.935000273,28140
nll_loss,20.276278464803745,95095.74599992957,15327.854000436717,4690
nll_loss_backward,35.26611385936657,165398.07400042922,165398.07400042922,4690
nll_loss_forward,17.008079317589093,79767.89199949286,79767.89199949286,4690
random_,9.111700002606213,91.11700002606213,91.11700002606213,10
reshape,13.745946908359636,128936.9820004134,31543.941000754538,9380
select,3.2622473649978447,3914696.8379974137,3914696.8379974137,1200000
set_,3.1266369183346367,1875982.1510007826,1875982.1510007826,600000
stack,267.29341663101053,1253606.1239994394,1253606.1239994394,4690
sum,22.123406467699365,311276.3290005302,311276.3290005302,14070
tanh,329.8303897121546,6187618.111000021,6187618.111000021,18760
tanh_backward,191.4271244669753,3591172.8550004563,3591172.8550004563,18760
to,9.497407006904094,5742987.043004838,4305963.842007963,604690
torch::autograd::AccumulateGrad,13.169566567161196,617652.67199986,195006.1610018385,46900
torch::autograd::GraphRoot,1.8410776119676515,8634.654000128285,8634.654000128285,4690
transpose,2.9574946791590877,3548993.6149909045,3548993.6149909045,1200000
unsigned short,6.805569040468236,478771.7819969404,478771.7819969404,70350
view,5.709825362097424,3559790.62199964,3559790.62199964,623450
zero_,4.587292919626756,215098.1650012986,215098.1650012986,46890
